;282826222.00489044;single;Started RNN_native_tau=9_rho=1 2022-01-31_21:27:11.862688
10;282826256.0915947;single;Started Time Step
10;282826256.22820854;single;Clustering - Training
10;282826265.45357704;_cluster;Loading data
10;282828179.28147316;_cluster;Determining k
10;282828179.8810959;_cluster;Single cluster per entity
10;282828710.81638336;_cluster;Exporting clustering results
10;282828742.634058;single;Training
10;282828742.8302765;_train;Reading Data
10;283193554.9657345;_train;Training model
10;283494963.4964466;_train;Finished training
10;283494965.8694267;single;Clustering - Predicting
10;283494967.4189091;_cluster;Loading data
10;283496786.60178185;_cluster;Determining k
10;283496787.2264385;_cluster;Single cluster per entity
10;283497260.5090141;_cluster;Exporting clustering results
10;283497289.2677784;single;Predicting
10;283497289.46495056;_predict;Loading data
10;283796054.84128;_predict;Using most recent model, making predictions
10;283849644.54865456;_predict;Exporting predictions
11;283849709.75756645;single;Started Time Step
11;283849709.8894119;single;Clustering - Training
11;283849710.6049061;_cluster;Already done
11;283849710.6873989;single;Training
11;283849710.9017372;_train;Reading Data
11;284170575.03437996;_train;Training model
11;284400175.83966255;_train;Finished training
11;284400188.22193146;single;Clustering - Predicting
11;284400189.90159035;_cluster;Loading data
11;284404411.9467735;_cluster;Determining k
11;284404412.558794;_cluster;Single cluster per entity
11;284405012.0463371;_cluster;Exporting clustering results
11;284405048.39110374;single;Predicting
11;284405048.61044884;_predict;Loading data
11;284829218.38235855;_predict;Using most recent model, making predictions
11;284886492.5160408;_predict;Exporting predictions
12;284886584.0423107;single;Started Time Step
12;284886584.1450691;single;Clustering - Training
12;284886584.8903656;_cluster;Already done
12;284886584.97047424;single;Training
12;284886585.2074623;_train;Reading Data
12;285330603.6348343;_train;Training model
12;285481185.5163574;_train;Finished training
12;285481187.8321171;single;Clustering - Predicting
12;285481189.3606186;_cluster;Loading data
12;285483529.68764305;_cluster;Determining k
12;285483530.4694176;_cluster;Single cluster per entity
12;285484275.30407906;_cluster;Exporting clustering results
12;285484323.04286957;single;Predicting
12;285484323.2576847;_predict;Loading data
12;285988803.8995266;_predict;Using most recent model, making predictions
12;286046594.9828625;_predict;Exporting predictions
13;286046816.36309624;single;Started Time Step
13;286046816.56718254;single;Clustering - Training
13;286046818.1209564;_cluster;Already done
13;286046818.28927994;single;Training
13;286046818.8214302;_train;Reading Data
13;286574639.08076286;_train;Training model
13;286733430.7284355;_train;Finished training
13;286733433.0174923;single;Clustering - Predicting
13;286733434.5610142;_cluster;Loading data
13;286739315.4144287;_cluster;Determining k
13;286739316.17212296;_cluster;Single cluster per entity
13;286740298.59399796;_cluster;Exporting clustering results
13;286740359.8012924;single;Predicting
13;286740360.0349426;_predict;Loading data
13;287295622.174263;_predict;Using most recent model, making predictions
13;287357043.1435108;_predict;Exporting predictions
14;287357200.9856701;single;Started Time Step
14;287357201.1349201;single;Clustering - Training
14;287357202.27599144;_cluster;Already done
14;287357202.3997307;single;Training
14;287357202.8121948;_train;Reading Data
14;287933310.0745678;_train;Training model
14;288094260.8027458;_train;Finished training
14;288094263.1905079;single;Clustering - Predicting
14;288094264.7726536;_cluster;Loading data
14;288102293.3113575;_cluster;Determining k
14;288102293.9994335;_cluster;Single cluster per entity
14;288103427.84905434;_cluster;Exporting clustering results
